id,created_at,subject,concept,total_questions,correct_count,wrong_count,details
311,2026-06-27 04:45:04.663586,SE,1-b. 객체지향 개념,1,1,0,"{""q_id"": ""2015_27"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
312,2026-06-27 04:45:53.227634,SE,"1-a. 요구사항 도출, 요구사항 분석, 요구사항 명세, 요구사항 추적",1,1,0,"{""q_id"": ""2015_41"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
313,2026-06-27 04:46:10.23,SE,3-a. 유지관리 개념 및 방법,1,1,0,"{""q_id"": ""2016_42"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
314,2026-06-27 04:46:31.049547,SE,"1-a. 요구사항 도출, 요구사항 분석, 요구사항 명세, 요구사항 추적",1,1,0,"{""q_id"": ""2019_38"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
315,2026-06-27 04:46:42.162005,SE,1-g. 사용자 인터페이스 설계,1,1,0,"{""q_id"": ""2018_35"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
316,2026-06-27 04:47:37.411644,SE,"1-e. 아키텍처 스타일(계층구조, 클라이언트 서버, 트랜잭션 처리, mvc, 이벤트 중심 등)",1,1,0,"{""q_id"": ""2022_32"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
317,2026-06-27 04:48:13.942896,SE,[기타],1,1,0,"{""q_id"": ""2026_47"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
318,2026-06-27 04:49:03.445964,SE,"3-d. 재사용, 재공학, 역공학, Refactoring",1,1,0,"{""q_id"": ""2022_31"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
319,2026-06-27 04:49:16.979591,SE,"1-a. 요구사항 도출, 요구사항 분석, 요구사항 명세, 요구사항 추적",1,1,0,"{""q_id"": ""2017_29"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
320,2026-06-27 04:54:27.318627,PM,"2-a. 전자정부법, 정보시스템 감리기준 등 감리 법제도",1,0,1,"{""q_id"": ""2018_23"", ""user_choice"": [2], ""correct_answer"": [3], ""is_correct"": false}"
321,2026-06-27 04:57:25.684118,PM,"1-a. 정보화 및 소프트웨어 관련 법령 및 고시, 가이드",1,1,0,"{""q_id"": ""2017_21"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
322,2026-06-27 04:58:30.182332,PM,[기타],1,1,0,"{""q_id"": ""2019_23"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
